Company Name,Address,City,State,Contact Person,Phone No,Mob No,Service Detail,Supplier or Booking,LCV or HCV,Email Id,Website,Vehicle Type,Segment
Bombay Patiala Transport Co:,"G T. Road , Near TCI , U.P. Border , Post Office - Chikamberpur , Ghaziabad.",Delhi,Delhi,Jamail Singh,0120 - 26266*9,9910*72*01 ,Lorry Supplier - All Over Punjab.,Supplier,,,,"Tempo,  Truck,  10 Wheeler,  6 Wheelers",
Bombay Poona Roadways (R),"BG-520 , Sanjay Gandhi Transport Nagar , Delhi.",Delhi,Delhi,Narender Bisht,"011 - 27**177*,  42*6017*","9*1121217*,   921221217*",Full Truck Available - All Over South .,Supplier,HCV,,,"10 Wheeler,  12 Wheeler",All Type Material
Bombay Pune Freight Carriers,"Shop No.- A-4/19 , Rawalpindi Garden , Opp. Telephone Exchange , U.P. Border Chikambarpur Ghaziabad.",Delhi,Delhi,Pappu Choudhary,0120 - 262*1*2,9*11*9*1*2,Lorry Supplier - Maharashtra & South India,Supplier,HCV,,,"Container,  10 Wheeler,  32 Ft.",All Type Material
Bombay Raipur Carriers,"Apsara Cinema Complex 2nd Floor U.P. Border, PO Chikmberpur, Ghaziabad",Delhi,Delhi,"Ramesh Somani, Dinesh","0120 - 2629192,  261222*",9*10**2*99,Spl. In Open Body Truck Sppl- All Over India,Supplier,"HCV, LCV",,,"Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler,  407,  709,  909,  11 09,  14 Ft.,  17 Ft.,  19 Ft.,  22 Ft.,  24 Ft.",All Type Material
Bombay Raipur Feight Carrier,"Shop No.- M -23 , 3rd Floor , Vishwakarma Colony , M.B. Road , Opp.- TKO , New Delhi.",Delhi,Delhi,R.S. Rawat,011 - 26*6*700,"999970*700,  9*1120*700","Lorry Service - Rajasthan Maharashtra ., Goa , Gujarat",Supplier,HCV,r*r*w*t185@gm*il.com,,"Trailer,  20 Ft. ,  40 Ft.",All Type Material
Bombay Raipur Logistics,"C-54, M.B. Road, Vishwakarma Colony , New Delhi",Delhi,Delhi,Bablu ( Amar chand ),,"9*9961*700,  9*1061*700,  901*66*700,  971116*700","Raj., Guj., Mah., Haryana, Delhi & All Over India",Supplier,HCV,,,"Trailer,  Container,  ODC Cargo,  20 Ft. ,  40 Ft. 50 80",ODC Consignment & Heavy Load
Bombay Rajasthan Transways,"326, Apsara Cinema Complex , U.P. Border , Ghaziabad.",Delhi,Delhi,Krishan,"0120 - 262*7*7,  261*7*7","99111*9797,  9999*9**9*","ODC Consignment - All Over India & Heavy Load - Mumbai , Pune & South India .",Supplier,HCV,,,Trailer,ODC Consignment & Heavy Load
Bombay Road Carriers,"CW-71 , Sanjay Gandhi Tpt. Nagar, Delhi-42",Delhi,Delhi,Kultaran Singh,011 - *20*09*1,9*91222099,"In Banglore, Hubli, Lucknow, Banaras, Maha.","Supplier, Booking",HCV,,,,
Bombay Roadlines,"Shop No.- 3448, Nicholson Road , Mori Gate , Delhi",Delhi,Delhi,"R.C. Juneja , Ravinder Juneja","011 - 2*9**649,  2*96*992","9*10996*66,  9*124*10**",All Over India,Supplier,"HCV, LCV",bomb*yro*dline*delhi@gm*il.com,,,All Type Material
Bombay Sri nagar Trpt. Service,"Shop No.- BG-499, Sanjay Gandhi Transport Nagar, Delhi.",Delhi,Delhi,Kabul Singh / Rajeev,"011 - 27**1127,  27**114*,  27**1**9",9*124*0**1 ,"Full Load - Kolkata , J & K , Srinagar , Punjab , Himachal",Booking,HCV,,,"10 Wheeler,  12 Wheeler","All Type Material,  Coal"
Bombay Surat Transport Co.,"Shop No.- CW-602 , Sanjay Gandhi Transport Nagar, Delhi-42",Delhi,Delhi,"Yashpal Singh , Sonu","011 - 47*61*1*,  42*60*1*","921*206749 ,  9*11106749","Lorry Service - Maharashtra , Gujarat",Supplier,,,,10 Wheeler,All Type Material
Brahmaputra Logistics,"54 , Transport Centre , Azadpur , Delhi.",Delhi,Delhi,Randeep Singh,"011 - 27676**0,  2767*4**","9*11162***,  9*11**61**",Full Load - All Over India,Booking,,,,,
Bright Carrier Of India,"Shop No.- F-22, Dside Complex , Nangloi , Delhi- 41",Delhi,Delhi,"Satish Sharma ,S.B. Sharma",011 - *471712,"9*112**449 ,  9*12***449",Full Truck Available For All Over India & Special Service - Mumbai,Booking,HCV,,,"Trailer,  Container,  10 Wheeler,  12 Wheeler,  32 Ft.","Machinery,  ODC Consignment & Heavy Load"
British Roadways Corporation,"Shop No.- 87, (Behind Shop No.- 40) Okhla Industrial Estate , Phase III . Delhi.",Delhi,Delhi,V. K. Mishra,011 - 26929477,"9*122**77*,  9*111*6477",Parcel & Full Load Booking Full All Over India,"Supplier, Booking",LCV,,,"6 Wheelers 1109 ,  1110",All Type Material
Bubna Transport Service (Ragd.),"Shop No.- 844 , S.P. Mukherjee Marg, ""Jaipuria Building"", Delhi-6",Delhi,Delhi,Gaurav,011 - 2*977416,9*102119** ,Parcel Booking - Delhi To Bhiwadi To Delhi,Booking,"HCV, LCV",,,"Tempo,  Truck,  Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Bulandshahar Golden Transport Co .. (R),"4141, ""Dankara Building"" Naya Bazar, Delhi-6",Delhi,Delhi,Balram,"011 - 2*9**1*2,  2*962966",,Parcel Booking For All Over U.P.,Booking,LCV,,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",All Type Material
Burma Tempo Transport Service,"Shop No .- C-6 , Wazirpur Industrial Area , Delhi-52.",Delhi,Delhi,Manmeet Singh,011 - 27*7*260,9*11262*9* ,Lorry Service - All Over India,Supplier,LCV,burm*tr*n*port@gm*il.com,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",All Type Material
Buxar Delhi Roadways,"Shop No.- A-66 , Vrindavan Garden , Nitco Wali Gali , Delhi U.P. Border , Ghaziabad",Delhi,Delhi,Pratik Rai,,"99**7*2104,  9910*0**67 ",Full Load - All Over India,"Supplier, Booking",HCV,bdrro*d2@gm*il.com,,"10 Wheeler,  12 Wheeler",All Type Material
Calcutta Bombay Heavy Cargo Movers,"19- Ground Floor, Apsara Cinema ,Compo U.P. Border",Delhi,Delhi,Ashok Saini,"0111 - 26262** ,  2626*** ,  262****","9*10**6*** ,  96*0646*** ,  9*7****9**","Spl. Ser. : U.P., Jharkhad, Bihar, Bengal, Orrisa",Supplier,HCV,*.**ini1959@gm*il.com,,Trailer,Machinery
Calcutta Cargo Movers,"R. S Bajwa Compound, P.O. Chikamberpur, U.P. Border , Gz.",Delhi,Delhi,Rakesh Mishra,0111 - 261626*,"9**0002621 ,  9*10002621","Spl. Bihar, Bengal, Nepal, Assam, Calcutta",Supplier,HCV,,,"10 Wheeler,  12 Wheeler",All Type Material
Calcutta Carriers Of India,"29, Khanna Market, Delhi-54",Delhi,Delhi,N. K. Jangra,"011 - *29***6* ,  2*92**6*","9*1*7***7* ,  9**004**6*",Full Truck & Parcel Booking For Calcutta,Booking,,,,"Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler,  707, 909, 1109, 407 & 6 Wheeler",Parcel Service
Calcutta Express Transport Service,"Plot No:- S-2, Anupam Aoarment M-5, Vrindavan Garden U.P., Border Sahibabad Ghaziaba.",Delhi,Delhi,B. K maitry,,**00260721,All Over India,Supplier,"HCV, LCV",kile*pgh@y*hoo.in,,"Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler,  707,  909,  1109,  407 & 6 Wheeler",All Type Material
Calcutta Golden Carrier,"6th Mile Stone, Opp. Mata Mandir, Delhi U.P. Border, Ghaziaba.",Delhi,Delhi,Kuldeep santosh,,"9*9107297*,  96*0444*** ,  999977*0*1",Full Load All Over India,"Supplier, Booking",HCV,,,"Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler",All Type Material
Calcutta Jaunpur Roadlines,"S.N:- 12, Varindawan Garden Shaibabad Ghaziaba.",Delhi,Delhi,K. K. Mishra,0120 - 2611777,"94*66****7,  99**7*90*7","Tata Ranchi, Patna Ser : Kolkata, Jaunpur, Bihar, Jharkhand Assam & Orissa",Supplier,HCV,,,"Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler",All Type Material
Calcutta Patna Roadways,"A-34, Shyam Enc. Giani U.P..",Delhi,Delhi,Shivji Pandey,0120 - 2614*90,"9**0*1*291,  9*1064107*","Ser. Assam, Bihar, Jharkhand & Calcutta",Supplier,"HCV, LCV",,,"10 Wheeler,  12 Wheeler",Parcel Service
Calcutta Roadways Corporation / Calcutta Road Carrier,Shardhara U.P. Border P.O. Chikamberpur Ghaziaba.,Delhi,Delhi,Bhupender Singh,"26271*6,  262**66","9*71667*26,  9*106*7166",Full & Parcel Booking For Calcutta,Supplier,HCV,,,10 Wheeler,Parcel Service
Capital Cargo Carriers,"S.G. T.N. : 47551832, 47551833, Molia Khan Chowk, Sadar Thana Road, Delhi-55",Delhi,Delhi,Jaychand,"011 - 64*92744,  2**124*0",,All Over Jammu & Shrinagar,Booking,HCV,,,"10 Wheeler,  6 Wheeler",All Type Material
Ghai Roadlines,"6th Mile Stone, U.P. Border P.O. Chikamberpur Ghaziaba.",Delhi,Delhi,Vinod Bhai,"0120 - 2626*97,  *290167","9*91446422,  99***66422","Spl Service Bangalore, Chennai, Coimbature Pondichery",Supplier,HCV,gh*iro*dline@gm*il.com,,"Container,  10 Wheeler,  6 Wheeler",Parcel Service
Capital Transport Co. (India),"CG-210, S.G.T.N. New Delhi-42",Delhi,Delhi,Rameshwar,"011 - 27**1*44,  27**1*4*,  6*44297*",9**09126*9,"Full Truck Canter Aval. For Delhi, U.P., Hr. Pb. Raj & South","Supplier, Booking","HCV, LCV",info@c*pit*ltr*n*port.com,www.capitaltransport.com,"Truck,  Trailer,  10 Wheeler,  12 Wheeler,  707,  909,  1109,  407 & 6 Wheeler",All Type Material
Capital Transport Corpn. of India,"50, Khanna Market, Tis Hazari, Delhi",Delhi,Delhi,B. K. Malhotra,011 - 2*974*22,9*11647**2,Full Parcel Booking For Calcutta & Mumbai,Booking,HCV,,,10 Wheeler,Parcel Service
Capital Transport Organisation,"BG-106, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,S. N. Aggarwal,011-47*61466,9*1*1*4466,Full Load Booking All Over India,Booking,"HCV, LCV",,,"Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler,  707,  909,  1109,  407 & 6 Wheeler",All Type Material
Captain Temp Goods Carrier,"116, Near Veer Public School, Kapashera, New Delhi",Delhi,Delhi,Rajbir Yadav,011 - 416*4**0,"9*1*760**7,  9*1**12***","Tata Canter Available For Service: Delhi, U.P., Haryana, Rajasthan & Punjab",Supplier,LCV,,,"407,  Canter,  1109,  LPT",All Type Material
Car Carrier Of India,"Plot No. 1286, 1 st Floor, Karan Yadav Kapashera, New Delhl-37",Delhi,Delhi,S. V. Parmar,,"9*10102**0 ,  9911102**0 ,  9*1*192**0","Car, Scooter, Motorcycle , Maruti , Goods For All Over India",Supplier,HCV,,,Trailer,"Car,  Scooter,  Motorcycle"
Caravan Freight Carriers Pvt. Ltd.,BG 114/AS.G.T.N. Delhi 42,Delhi,Delhi,Narender Singh,"011 - 27***9*1,  27***9*2",9*10**4992,"Full Truck Load For All Over India, Spl. Mumbai, Carrying ODC Project & Machinery",Booking,"HCV, LCV",delhi@c*r*v*nfreight.com,,"Truck,  Trailer,  10 Wheeler,  12 Wheeler,  707,  909,  1109,  407 & 6 Wheeler","All Type Material,  Machinery"
Caravan Roadways Ltd.,"AG-28, Sanjay Gandhi Transport Nagar, .Delhi-42",Delhi,Delhi,"Rajeev Gupta , Narendra Sharma","011 - 27**1277,  4707777(100 Line) 27**1477,  27**2177",9*1*****77,"Parcel Service Mumbai To Delhi, Har., Punjab, Rajasthan., U.P. & H.P.",Booking,"HCV, LCV",delhi@c*r*v*nro*dw*y*.com,www.carvanroadways.com,"Trailer,  Container,  10 Wheeler,  12 Wheeler,  707,  909,  1109,  407,  Canter",All Type Material
Caravel Logistics Pvt. Ltd.,"502, Copia Corprate Suites 9, Jasola Dist New Delhi",Delhi,Delhi,Subodh Kumar,"011 - 4*291000,  4*291001 / 002 Upto 22",99**296***,All Over India & International Service,Supplier,HCV,delhi.dom@c*r*vellogi*tic*.com,www.caravel.in,"Truck,  Container,  10 Wheeler,  12 Wheeler",Cement
Care Logistics ,"Gali No.2 , Near Rly Line , Delhi-U.P. Border , Ghaziaba.",Delhi,Delhi,R. K. Shukla,,"99710*1626,  9*116*977* ,  7*27**126*",All Over India,Booking,HCV,,,6 Wheeler,All Type Material
Carex Logistics,"CW-540 In Basement ,Sanjay Gandhi Transport Nagar Sameypur Badli Delhi -42",Delhi,Delhi,Sumit Bharatbushan,,"9*10469099,  991027999*,  9*109*02*9",Full & Part Load Daily Services: All Over India,"Supplier, Booking",LCV,c*relogi*tic@gm*il.com,,"407,  Canter,  1109,  707",All Type Material
Cargo Carrier India Regd.,H150 A Dilshad Garden Delhi,Delhi,Delhi,Dinesh Ganesh bharjdwa,011 - 221*27**,"9**0*46*21-22,  9**0*46*2*,  9**0*46*22","Chandhigarh, Culcutta , Mumbai, Punjab",Booking,HCV,,,"Container,  32 Ft,  Single & Multi Axle",Full Truck Load
Cargo Carriers India Ltd.,"CW-25C, S.G.T.N., Delhi-42",Delhi,Delhi,I. C. Mishra,"011 - *24**221,  2**16164","9*10*01116,  92127*0016","Iso Container, Truck For All Mumbai & Mah. Guj",Supplier,HCV,ccil@*ify.com,,"Trailer,  Container,  10 Wheeler,  12 Wheeler",All Type Material
Cargo Logistics,"Jindal House1/9B, Asaf Ali Road, New Delhi",Delhi,Delhi,Anil,"011 -2*2**022,  2*2***97,  2*2*47*1","9*101*1201 ,  9*101*120*",All Over India,Booking,HCV,elpd@c*rgomotor.com,www.cargomotor.com,Trailer,Car Carrier
Carizone Relocating Service,"Main Road Ghewara Village Opp. Govt. School, Delhi-81",Delhi,Delhi,A.K. Dahiya,"011 - 2*9*1*26,  *2*04*26","9*12024*09,  9*400**400,  9*400*4400","Spl. In 17, 20, 24, 32, Feet Container & Open Body Truck Vehicle Avilable For All India",Supplier,"HCV, LCV",c*rizone@y*hoo.in,,"Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler,  707,  909,  1109,  407 & 6 Wheeler",All Type Material
L. D. Road Carriers,"KiIwat Pindi Garder, U.P. Border, P.O. Chikamberpur, Delhi",Delhi,Delhi,Sanjay Sharma,011 - 2610707,"9**09112*2,  9*11610707",Full Load All Over India,"Supplier, Booking","HCV, LCV",ldro*dc*rrier**j*y@gm*il.com,,"6 Wheeler, 1109,  407",All Type Material
Sky India worldwide express,"No. 323L, 1st Floor, 7th Street, Mahipalpur, Delhi - 110037 Landmark: Near Agarwal Sweets Shop",Delhi,Delhi,Sanjay Bharadwaj,011 - *0621717,"9*1*046162 ,  96*49**0*1",All Over India,Booking,HCV,**nj*y*kynet@y*hoo.co.in,www.skynetindia.com,"Truck,  Trailer,  Container,  10 Wheeler",All Type Material
CCI Logistics LTD.,"Bus Bhavan, Near Indian Bank, Delhi",Delhi,Delhi,"Bijender, Satish Sharma, Madan Lal","011 - *2*07176 ,  2**42419","9*12097072 ,  9**010*42*",Spl : South & All Over India,Supplier,HCV,,,"Container,  Single & Multy Axle",Full Truck Load
Central Transport Corporation Of India,"D - 2 , 2nd Floor, D Block Market , Vivek Vihar , Delhi - 95",Delhi,Delhi,J. P.Gupta Saubhav,,"9*1**42*29 ,  9*1226***0",Full Load & Trailor Booking For: All Over Lndia,"Supplier, Booking","HCV, LCV",delhi@ctci.co.in,www.ctci.co.in,"Truck,  Trailer,  10 Wheeler,  12 Wheeler,  6 Wheeler,  1110,  1109",Industrial Goods
Central Transport Company,"7196, Near Hanuman Mandir, Main Road Qutab Road, New delhi",Delhi,Delhi,"Shamim, Ansari","011 - 27**1079,  2**2*019,  2*670140",9*127*9111,Daily Booking For Mumbai,Supplier,"HCV, LCV",,,"Tempo,  Container,  10 Wheeler",All Type Material
Central Transport Organisation (R) / Central Logistics,"242, Sanjay Gandhi Transport Nagar, New Delhi",Delhi,Delhi,Satish Bajaj,"011 - 27****** ,  2*6***1*",9*126*27*6,Full Load Booking For All Over India,"Supplier, Booking",HCV,,,"10 Wheeler,  6 Wheeler",Household Goods & ODC Consighments
Neet Express Logistics,"Plot no. 547, Rohtak Market, Main Rohtak Road ,New Delhi - 41",Delhi,Delhi,Sanjay Vashishit,,"96*0121*1* ,  9*11121*1*",All Over India,Booking,LCV,neetexpre**logi*tic*@gm*il.com,,"Container,  707,  909,  1109,  407,  Canter",ODC Consigment
Century Cargo Movers,"Plot no 525, Chiku House, Near NCD Road, Shalimar Goan, New Delhi",Delhi,Delhi,Daulatram Geniwal,,"9*10909007,  9*11109007",All Over India ( Spl: Pune & Mumbai),Supplier,HCV,d*ul*tr*m.geniw*l7@gm*il.com,,6 Wheeler,All Type Material
Century Carriers Of India,"74/1 Gulihan Park ,Behind Sonia Hospital, Rohtak Road, Nangloi, Delhi - 41",Delhi,Delhi,Raj Kumar Sharma,"011 - *2409022 ,  2*476**4,  *29927*0","9*1*9927*0,  9*119927*0","Maha.& A.P., South",Booking,HCV,ccirktr*n*port@gm*il.com,,"Container,  10 Wheeler",Parcel Service
Century Express Cargo Movers,"731/2, Firani Road, Near Vrandavan Vatika, Mundka, New Delhi - 41",Delhi,Delhi,Dharam vir,,"9*120*1**0 ,  901**914*0","Ser:- Delhi ,Ludhiana & Full Load In All Over India",Supplier,LCV,,,"407,  Canter,  1109,  707",Cartons & Electronics Goods
Century Roadlines,"416/5A, Kar Kar Dooma, U.P..",Delhi,Delhi,Dayakishan Sharma,"0120 - 2620796,  22*7*72*","9*1242*041,  9*6*104216","Full Load Booking For U.P., Uttranchal","Supplier, Booking",HCV,,,"10 Wheeler,  6 Wheeler","All Type Material,  Parcel Service"
"CFC Carriers Pvt, Ltd.","308, Rishab Corporate Tower, Community Centre, Delhi 92 ka",Delhi,Delhi,"A . N. Jha , Sekhar","011 - 22*74494 ,  22*7449* ,  2624106 ,  4116***",9*1011*606,All Over India,Supplier,HCV,info@cfcc*rrier*.com,www.cfccarriers.com,"Trailer,  Container,  10 Wheeler",All Type Material
Chacha Bhaji Transport Service & Motors,"1/6, Near Old Petrol Pump, Kirti Nagar, New Delhi",Delhi,Delhi,"Dilip Singh Chhabra , Mahinder Singh","011 - 2*4***71 ,  2*1**6*4","9*6*1*412* ,  9*71172*4*",Only Local Service,Supplier,LCV,,,"Tempo,  Canter,  407,  1109,  707",All Type Material
Chaddha Golden Freight Carriers,"4119, Naya Bazar, Delhi-6 AG412, Sanjay Gandhi Transport Naga.",Delhi,Delhi,"J.P. Chadha, N.S. Chadha","011 - 27***791 ,  27***4** ,  27****** ,  6*4**191","9*1260***0,  9212419**4","Full Load & Parcel Service For Punjab, H.P.",Booking,"HCV, LCV",,,"10 Wheeler,  12 Wheeler,  6 Wheeler & 1109,  707",Parcel Service
Chaddha Motor Transport Co. Pvt. Ltd.,"1724, Naya Bazar, Delhi-6",Delhi,Delhi,,"011 - *202714* / 149 ,  *2027147",,"Parcel Booking For Punjab, All, H.R.",Booking,"HCV, LCV",,,"10 Wheeler,  6 Wheeler,  1110,  1109,  407",Parcel Service
Chadha Travels '(India) Regd.,"(H.0.)-150, Transport Centre, New Rohtak, New Delhi B.O. 4111, Naya Bazar",Delhi,Delhi,"N.S. Chadha, P.S. Chadha","011 - *2*1496* ,  2**12*11 ,  *2******,  2*9**0*6",,"Daily Parcel Service & Part Load Booking For All Hal, Panipat, Piplej, Ambala, Karnal & Punjab",Booking,LCV,,,"Canter,  709,  1109,  6",Parcel Service
Chamba Manali Goods Transport Co. (Regd.),"4103-A,Booking Office, Naya Bazar, Delhi",Delhi,Delhi,"Satish , Sudhir","011 - 2*91696* ,  2*947*41 ,  2*944701","9*1227**16,  921240***2",Spl : H.P.,Booking,HCV,,,"10 Wheeler,  6 Wheeler",Parcel Service
Chamba Manari Transport Co. (Regd.),"B.O - 4103, Naya Bazar ,Delhi -6",Delhi,Delhi,"Sudhir , Devender",011 - 2*91696*,"921240***2 ,  9212**9794",Ser:- All Himachal,Booking,HCV,,,"10 Wheeler,  6 Wheeler",Parcel Service
Chamba Simla Roadlines Pvt. Ltd.,"CW/57, Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,Mukesh Sharma,011 - 26146** *2970070,"9**0*711** ,  9910946712 ,  9*1190***0",Daily Parcel Service For All Himachal,"Supplier, Booking","HCV, LCV",,,"Container,  10 Wheeler,  12 Wheeler,  707,  909,  1109,  407 & 6 Wheeler",Parcel Service
Chandel Golden Transport Co.,"A-1111. Rawal Pindi Garden, Opp. Telephone Exchange, O.B.C. Bank Wali Gali, U.P' Border, P.O. Chikamberpur",Delhi,Delhi,Kuldeep Singh,011 - 26221*1,"9*1064***9 ,  9*1064***9",Daily Ser. : All Gujrat,Supplier,HCV,,,"10 Wheeler,  12 Wheeler",All Type Material
Chandela Tempo Service,"168/B, Village Tekhand Near, Campa Coal Factory, Okhla Ind. Area, Phase-1, New Delhi",Delhi,Delhi,Dharmpal,,"9*1244*69* ,  9***72*766",All Over India,"Supplier, Booking","HCV, LCV",,,"10 Wheeler,  707,  909,  1109,  407 & 6 Wheeler ,  Pickups",Parcel Service
Chandhoak Roadways,"BS-87 ,Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,,011 - 27**14*0,9**0210*6*,Ser:- Delhi To Mumbai,Supplier,HCV,,,"Container,  10 Wheeler",Household & Export
Chandigarh Baddi Roadlines,"BG-591, 3rd Floor, Sanjay Gandhi Transport Nagar, Delhi - 42",Delhi,Delhi,"Ved Prakash , Ramesh Kaushal",,"9*1000**6* ,  *01002140* ,  9*71976776,  9*1167*77*,  9*1000**6*","Ser :- Ambala, Zirakpur , Roper, Una, Kangra, Hamirpur, Chd Baddi, All Himachal & Punjab",Supplier,,,,"10 Wheeler,  12 Wheeler,  6 Wheeler,  407,  1109",All Type Material
Chandigarh Golden TPT,"J.J. Camp, Near Chawla Hotel, Okhla Industrial Area, Phase 2, New Delhi",Delhi,Delhi,Sohan Singh pawan,"011 - 26**6*6*,  26**696*,  40*4676*",9*1*7*146*,H.P. & Punjab,Supplier,HCV,,,"10 Wheeler,  12 Wheeler,  6 Wheeler",All Type Material
Chandigarh Himachal Transport Co.,"AW-12, Sanjay Gandhi Transport Nagar, Delhi-42",Delhi,Delhi,Daulat Ram,"011 - 27****9*,  27**219*,  6***927*,  42*6*19*",9*1*66097*,"Full Truck Available Forchandigarh, H.P., Punjab, Raj. Spl. Chd, Ambala, Baddi, Pb., H.P.",Supplier,HCV,,,"10 Wheeler,  LPT",Food
Chandigarh Punjab Himachal Tempo Transport,"Shop no 1, Shiv , Opp NSIT, Near Shani Mandir , Dwarka, New Delhi - 78",Delhi,Delhi,Rajindar saigal,011 - 646**616,"9*122*4**2,  921274***4","Punjab, Haryana, Rajasthan, Utt, U.P. Guj., Maha",Booking,LCV,,,"407,  1109,  1109,  Canter","All Type Material,  Full Truck Load(Thok)"
Chandigarh Punjab Himachal Tempo Transport Co.,"A-1, Hari Vihar Old Palam Road, Kakrola , Delhi",Delhi,Delhi,Daulat Ram & Rajendra,,"9212697**2 ,  9*122*4**2","Tata, For Punjab, J & K, Haryana & Delhi",Supplier,LCV,,,"Canter , 1109 ,  407,  LPT ,  709",All Type Material
Chandra TPT Corp.,"C-10/2, Lawrence Road, Indl. Area",Delhi,Delhi,Uttarn,"011 - 2710***1 ,  27194016",9**09446**,Full Truck & Trailer Load For All Over India,"Supplier, Booking",HCV,,,"Truck,  Trailer,  10 Wheeler,  12 Wheeler,  707,  909,  1109,  407 & 6 Wheeler",All Type Material
Channa Transport Packer & Movers,"652, Chara Mandi, Near Malik Dharam Kanta, Zakhira, Delhi",Delhi,Delhi,Raju,,"9*10670*1* ,  9**004**17,  921264666*",Ser:- Full & Part Load For All Over India,"Supplier, Booking","HCV, LCV",,,"Trailer,  10 Wheeler,  12 Wheeler",Parcel Service & Household
Chardi Kala Dasmesh Road Carrier,"B-20/B, Ground Floor, Adrash Nagar, Delhi",Delhi,Delhi,B.S. Saini,,"9*10072296 ,  9*10092296",Ser: Surat,Supplier,HCV,b*l*ingh@gm*il.com,,"10 Wheeler,  6 Wheeler",All Type Material
Chattisgarh Andhra Goods Carrierrs,"AW-120, S.G.T.Nagar, Delhi",Delhi,Delhi,Rash Pal Singh,"011 - 27**061* ,  47**1*6*","9*6*0462** ,  9*10421*1*","Spl:- Nagpur, Gondia, Chanderpur",Supplier,HCV,,,"10 Wheeler,  6 Wheeler",All Type Material
Chattisgarh Road Carrier,"CW 555, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,J.S. Chauhan,011 - 27**2*1*,"742*16**0* ,  9*11972*1*",All Over India,"Supplier, Booking",HCV,,,"10 Wheeler,  12 Wheeler","All Type Material,  Parcel Service"
Chaudhary Freight Carriers,"Shop No. 18, Aggarwal Market, U.P Border",Delhi,Delhi,"Ranbir, Gourav","0120 - 410**9* ,  262**9*","9*112*2*7* ,  9*112*2*7*",Full Truck Available J&K,"Supplier, Booking",HCV,,,"Truck,  Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Chaudhary Golden Transport Service.,"B-8/38, Khazan Basti , Gurdwara Road, Mayapuri, New Delhi - 64",Delhi,Delhi,Ajit,,9*102*942*,All Over India,"Supplier, Booking","HCV, LCV",,,"Truck,  Trailer,  ODC Cargo,  10 Wheeler,  12 Wheeler",All Type Material
Chaudhary Transport Service (R),"GF. 26, ""Guru Ram Dass Bhawan"", Ranjeet Nagar, Delhi",Delhi,Delhi,"Bhoop Singh, Subhash","011 - 2*702101 ,  2*702201 ,  2*70249*","9*6*7*76*0 ,  99714127*0","All Rajasthan, Gujrat, U.P. All Over India","Supplier, Booking",LCV,n*re*hnfc@gm*il.com,,"707,  909,  1109,  407,  Canter",All Type Material
Chaudhary Transport Co. Pvt. Ltd.,"10234, Library Road, Azad Market, Delhi-6",Delhi,Delhi,Tilak Raj Ranjan Chaudhari,011 - 2*67044* ,9*11291291,Full Load Booking For All Over India,Booking,"HCV, LCV",,,"Trailer,  ODC Cargo,  10 Wheeler,  12 Wheeler","All Type Material,  Full Truck Load(Thok)"
Chaudhary Transport Service,"Shop No -3 & 17 1st Floor, G.T. Road, Siraspur, Delhi - 42",Delhi,Delhi,Roshan Chaudhary,,"9*110*9229 ,  9*12004*40","Delhi U.P., Haryana .Punjab ,Rajathan ,& Uttranchal",Supplier,HCV,,,"10 Wheeler,  1109,  6 Wheeler",Food
Chaugale Roadways,"Vimal Compound, 6th Mile Stone, U.P. Border, P.O. Chikamberpur, Ghaziaba.",Delhi,Delhi,B.G Patil,0120 - 262*97*,9*9107*9**,"Full & Part Load For Banglore, Kar., Chennai, Hyd. &All South Spl. In Tube Light & Bulb Supp. Spl. Servce South & West",Booking,HCV,,,"Truck,  10 Wheeler,  12 Wheeler",Full Truck Load
Chauhan Tempo Transport Co. (R),"Near Jai Bharat, Dharam Kanta, Bakoli , Delhi",Delhi,Delhi,"Vijay Kumar , Joginder Singh",011 - 2770*77*,"9*1*64*2*1 ,  9*1*6207*2","Tata, Canter For Pb., Chd., H.P., Maha., South","Supplier, Booking",LCV,k*ch*uh*ntpt@gm*il.com,,"707,  909,  1109,  407,  Canter, 1110",All Type Material
Chauhan Transport Corpn.,"Opp. Vijay Laxmi, Transport Co., 6th Mile Stone, U.P.B",Delhi,Delhi,Sunil Chauhan,,"9*107710*0 ,  9*1*4**401",Full Load Booking For Allover India,Booking,HCV,,,10 Wheeler,"All Type Material,  Commercial Googs"
